comentario,sentimento
"Poderia ser melhor, mas serve bem.",NEU
O produto é diferente do que aparece nas fotos.,NEG
"Produto mediano, dentro do esperado.",NEU
"Produto de ótima qualidade, estou muito feliz com a compra.",POS
Com certeza comprarei novamente dessa loja.,POS
O material é resistente e o design é lindo.,POS
"Produto de ótima qualidade, estou muito feliz com a compra.",POS
"Não é excelente, mas também não é ruim.",NEU
Demorou demais para chegar e veio danificado.,NEG
"Poderia ser melhor, mas serve bem.",NEU
Chegou antes do prazo e em perfeitas condições.,POS
"Funciona perfeitamente, como descrito no anúncio.",POS
O produto é diferente do que aparece nas fotos.,NEG
"Produto de ótima qualidade, estou muito feliz com a compra.",POS
O produto é diferente do que aparece nas fotos.,NEG
"Não recomendo, joguei dinheiro fora.",NEG
"Não vale o preço, qualidade muito inferior.",NEG
"O produto é razoável, cumpre o que promete.",NEU
Com certeza comprarei novamente dessa loja.,POS
Péssimo atendimento e produto ruim.,NEG
"O produto é razoável, cumpre o que promete.",NEU
"Poderia ser melhor, mas serve bem.",NEU
"Produto mediano, dentro do esperado.",NEU
"Funciona perfeitamente, como descrito no anúncio.",POS
"A qualidade é ótima, recomendo sem dúvidas.",POS
"Entrega foi normal, produto ok.",NEU
Preço justo pela qualidade oferecida.,NEU
"Não recomendo, joguei dinheiro fora.",NEG
"Não é excelente, mas também não é ruim.",NEU
"Decepcionado, esperava algo bem melhor.",NEG
"Nada de excepcional, apenas regular.",NEU
"Não recomendo, joguei dinheiro fora.",NEG
O material é resistente e o design é lindo.,POS
"Funciona perfeitamente, como descrito no anúncio.",POS
O produto é diferente do que aparece nas fotos.,NEG
"Decepcionado, esperava algo bem melhor.",NEG
"Muito satisfeito com a compra, vale cada centavo.",POS
Com certeza comprarei novamente dessa loja.,POS
"Muito satisfeito com a compra, vale cada centavo.",POS
Demorou demais para chegar e veio danificado.,NEG
A embalagem chegou toda amassada e o produto riscado.,NEG
"O produto é excelente, superou minhas expectativas!",POS
"A qualidade é ótima, recomendo sem dúvidas.",POS
Com certeza comprarei novamente dessa loja.,POS
Preço justo pela qualidade oferecida.,NEU
O material é resistente e o design é lindo.,POS
Demorou demais para chegar e veio danificado.,NEG
"Entrega foi normal, produto ok.",NEU
"Poderia ser melhor, mas serve bem.",NEU
"Nada de excepcional, apenas regular.",NEU
