comentario,rotulo
"Ótimo curso pra dar as bases para programação, ao final do curso você sabe o suficiente pra poder estudar por conta própria e saber o que perguntar no stackoverflow.",POSITIVO
"Se é o seu primeiro contato com desenvolvimento, não acredito que saia do curso com plenas competências para produzir aplicações maiores",NEGATIVO
"O curso é bem completo, e aborda bem todas as ferramentas para o desenvolvimento WEB, estou bem satisfeito e super confiante    com a melhora das minhas habilidades com desenvolvimento back-end e front-end. Obrigado !!!",POSITIVO
"Gosto muito da didática do professor, pra quem é novo na area o curso aprofunda em várias tecnologias.",POSITIVO
Uma pequena observação é que senti um pouco de falta de projetos com integrações com backend e banco.,NEUTRO
O conteúdo do curso e a didática do professor são excelentes! Parabéns pela dedicação para desenvolver um curso tão rico quanto esse!,POSITIVO
"Os pontos positivos: Aborda muito bem teorias e conhecimentos sobre html, CSS, java Script, bootstrap e outras questões sobre desevolvimento front End.",POSITIVO
"Os pontos negativos: O curso aborda uma infinidade de assuntos 'picados' e abordados de maneira muito parcial, realmente não acho que vale a pena deixar tanto conteúdo neste curso. Acho que o curso agrega valor apenas pelos conhecimentos html, css, javascript e outros do front end, depois disso o ideal é procurar outros cursos que falam especificamente do assunto, porém abordando de maneira mais completa desde o básico sobre o assunto.",NEGATIVO
"Tenho 57 anos e sou programador desde 1986. Desenvolvi programas em Cobol, RPG-II, Basic, DBase, Clipper e Visual Basic. Devido a grande quantidade de clientes que conquistei parei no tempo e não consegui mais me atualizar. Com a pandemia não pude mais continuar usando a desculpa da falta de tempo e tive de encarar o desafio. Por sorte descobri o curso 'Web Moderno' que me transportou do mundo desktop para o mundo Web rapidamente e não de forma trivial, mas abrangendo todos os aspectos e as reais necessidades que encontramos nos projetos que nos são contratados. Quero parabenizar a toda a equipe do curso e principalmente ao Leonardo Leitão, que não só nos ensina com maestria mas também nos motiva e alerta para as dificuldades existentes no mundo corporativo. Pensei em desistir do curso várias vezes achando que não conseguiria assimilar tanta coisa e só não o fiz pela didática perfeita do professor. Obrigado Mestre!",POSITIVO
"Excelente conteúdo! Super recomendo este curso, o instrutor aborda de forma clara e objetiva citando vários exemplos.",POSITIVO
"O curso é ótimo e o professor é excelente. Vou recomendar e farei outros cursos dessa empresa! Como esperado, apresenta uma série de tecnologias e chega a um nível de detalhe incrível, permitindo uma boa base para o início do desenvolvimento de projetos e até de novos estudos.",POSITIVO
"Como sugestão, o curso pode ser mais objetivo e mais curto ao focar apenas nas partes mais utilizáveis das tecnologias, descartar explicações e exemplos de coisas que não serão utilizadas ou até que são má prática e trabalhar mais em exemplos reais.",NEGATIVO
Aprendi com facilidade mesmo sendo leigo nesta área.,POSITIVO
Um curso que te deixa praticamente pronto para desenvolver seus próprios projetos ou iniciar em uma empresa.,POSITIVO
Curso completo e muito bem detalhado. Os exemplos e exercícios são bastante interessantes e relevantes.,POSITIVO
O instrutor é muito didático e demonstra pleno domínio do conteúdo abordado.,POSITIVO
Sou programador de softwares para desktop e fiz o curso como atualização e reciclagem. Acredito que esse curso realmente me deu uma excelente base e expandiu muito meus horizontes.,POSITIVO
"O professor sabe muito. No entanto, achei o método de ensino muito dificultoso.",NEGATIVO
Os arquivos são abertos e os códigos são escritos sem qualquer comentário para revisão e compreensão. O aluno tem que se virar para tentar anotar a fala do professor.,NEGATIVO
"É difícil acompanhar a sequência de arquivos que são criados, as pastas e os códigos.",NEGATIVO
"Dou meus parabéns pelo conhecimento acumulado do professor, porém precisa ter mais técnica para passar o conhecimento. Talvez quem já tenha um conhecimento maior ache o curso muito bom. No meu caso, dou nota 3.",NEGATIVO
"O curso é muito bom, o professor tem uma excelente didática e faz você pensar para conseguir resolver os exercícios e desafios do curso. Eu não tinha conhecimento prévio sobre o assunto, então apesar de ser um curso bem completo, eu acredito que será necessário ir buscar mais informações antes de sair para o mercado de trabalho ou abrir o próprio negócio.",POSITIVO
"Acredito que para ficar ainda melhor o curso, precisa de um módulo de hospedagem do site, eu sei que tem um módulo com a hospedagem de uma aplicação em Vue, mas é somente do frontend.",NEUTRO
